FIRST_DIST,FIRST_GaPa,HRRP_Palika_Code,Total_Beneficiary,First_Tranche,First_Tranche_Percent,Second_Tranche,Second_Tranche_Percent,Third_Tranche,Third_Tranche_Percent
ARGHAKHANCHI,Bhumekasthan,51001,148,119,80%,21,14%,0,0%
ARGHAKHANCHI,Chhatradev,51002,199,98,49%,44,22%,0,0%
ARGHAKHANCHI,Malarani,51003,245,90,37%,24,10%,1,0%
ARGHAKHANCHI,Panini,51004,241,110,46%,33,14%,2,1%
ARGHAKHANCHI,Sandhikharka,51005,83,83,100%,39,47%,10,12%
ARGHAKHANCHI,Sitganga,51006,139,77,55%,43,31%,0,0%
BAGLUNG,Badigad,45001,147,77,52%,9,6%,0,0%
BAGLUNG,Baglung,45002,627,424,68%,145,23%,0,0%
BAGLUNG,Bareng,45003,108,52,48%,21,19%,0,0%
BAGLUNG,Dhorpatan,45004,45,34,76%,19,42%,0,0%
BAGLUNG,Galkot,45005,389,178,46%,28,7%,0,0%
BAGLUNG,Jaimuni,45006,654,331,51%,102,16%,0,0%
BAGLUNG,Kanthekhola,45007,283,116,41%,29,10%,0,0%
BAGLUNG,Nisikhola,45008,11,9,82%,2,18%,0,0%
BAGLUNG,Taman Khola,45009,20,20,100%,6,30%,0,0%
BAGLUNG,Tara Khola,45010,102,61,60%,0,0%,0,0%
BHAKTAPUR,Bhaktapur,26001,7622,5604,74%,1547,20%,1384,18%
BHAKTAPUR,Changunarayan,26002,10937,9694,89%,2799,26%,2654,24%
BHAKTAPUR,Madhyapur Thimi,26003,2333,2056,88%,621,27%,585,25%
BHAKTAPUR,Suryabinayak,26004,7416,6959,94%,2310,31%,2182,29%
BHOJPUR,Aamchowk,10001,407,316,78%,0,0%,0,0%
BHOJPUR,Arun,10002,341,219,64%,108,32%,0,0%
BHOJPUR,Bhojpur,10003,1071,359,34%,107,10%,0,0%
BHOJPUR,Hatuwagadhi,10004,265,173,65%,32,12%,0,0%
BHOJPUR,Pauwadungma,10005,340,188,55%,101,30%,0,0%
BHOJPUR,Ramprasad Rai,10006,616,181,29%,97,16%,0,0%
BHOJPUR,Salpasilichho,10007,1281,1281,100%,223,17%,0,0%
BHOJPUR,Shadananda,10008,1057,957,91%,115,11%,0,0%
BHOJPUR,Tyamkemaiyung,10009,531,112,21%,46,9%,0,0%
CHITAWAN,Bharatpur,35001,710,655,92%,156,22%,61,9%
CHITAWAN,Ichchhyakamana,35002,2353,2043,87%,1724,73%,815,35%
CHITAWAN,Kalika,35003,916,611,67%,341,37%,97,11%
CHITAWAN,Khairahani,35004,559,523,94%,237,42%,178,32%
