District,VDC (ward) to Palika,VDC (ward) to Palika - ward,Partner Organization ,Project Title,"Implementing
Partner","Funding
Organisation",Sector,Activity Type,Name of the Infrastructure,Activity Detail,Curriculum (for Trainings),Activity Status,Unit (Indicator),"Physical Target -
Planned","Physical Target -
Reached",GaNaPa Ward Number ,GaNaPa_Code,GaPaN_Ward_Code
Bhaktapur,Changunarayan,8,OXFAM-GB,,ENPHO,OXFAM-GB,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,"Masons (other curriculums, specify in Activity Detail)","short term (15days), It has been tailored to meet the needs of low skilled labors to undertake 7 days masons training",,Completed,individuals,2,2,8,26002,26002-8
Bhaktapur,Changunarayan,6,OXFAM-GB,,ENPHO,OXFAM-GB,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,"Masons (other curriculums, specify in Activity Detail)","short term (15days), It has been tailored to meet the needs of low skilled labors to undertake 7 days masons training",,Completed,individuals,2,2,6,26002,26002-6
Bhaktapur,Changunarayan,9,OXFAM-GB,,,OXFAM-GB,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,"Masons (other curriculums, specify in Activity Detail)","short term (15days), It has been tailored to meet the needs of low skilled labors to undertake 7 days masons training",,Completed,individuals,1,1,9,26002,26002-9
Bhaktapur,Changunarayan,8,OXFAM-GB,,,OXFAM-GB,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,"Masons (other curriculums, specify in Activity Detail)","short term (15days), It has been tailored to meet the needs of low skilled labors to undertake 7 days masons training",,Completed,individuals,1,1,8,26002,26002-8
Bhaktapur,Changunarayan,7,OXFAM-GB,,,OXFAM-GB,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,"Masons (other curriculums, specify in Activity Detail)","short term (15days), It has been tailored to meet the needs of low skilled labors to undertake 7 days masons training",,Completed,individuals,1,1,7,26002,26002-7
Bhaktapur,Changunarayan,6,OXFAM-GB,,,OXFAM-GB,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,"Masons (other curriculums, specify in Activity Detail)","short term (15days), It has been tailored to meet the needs of low skilled labors to undertake 7 days masons training",,Completed,individuals,1,2,6,26002,26002-6
Bhaktapur,Changunarayan,5,GON,,,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,"Masons (7 days DUDBC, rural or urban)",,,Completed,individuals,24,24,5,26002,26002-5
Bhaktapur,Changunarayan,9,NRCS,Earthquake Response Operation,,NRCS,Health,"Capacity building - MCM, Triage, Referral System, MISP, ASRH in emergencies, First Aid services",,Health awareness session,,Ongoing,individuals,8000,6486,9,26002,26002-9
Bhaktapur,Bhaktapur,1,NRCS,Earthquake Response Operation,,NRCS,Health,Support - Provision of Non Medical Supplies,,Distribution of winter baby kit,,Completed,units,4200,4200,1,26001,26001-1
Bhaktapur,Changunarayan,8,NRCS,Earthquake Response Operation,,NRCS,"Water, Sanitation and Hygiene",Promotion - Hygiene and Sanitation Promotion,Sanitation in Schools education ( SLTS ),School Sanitation Campaign,,Ongoing,households,1250,1500,8,26002,26002-8
