District,Municipality,Ward,Partner Organization,Funding Organisation,Sector,Activity Type,Activity Status,Unit (Indicator),Planned#,Reached#,GaNaPa_Code,District_code,GaPaN_Ward_Code
Baglung,Baglung Nagarpalika,3,VidhyaM,NHCF,Education,Reconstruction - Classrooms,Ongoing,classrooms,4,4,45002,34,45002-3
Bhaktapur,Bhaktapur Nagarpalika,5,SCI,SCI,Education,Reconstruction - Classrooms,Completed,classrooms,2,2,26001,15,26001-5
Bhaktapur,Bhaktapur Nagarpalika,9,SCI,SCI,Education,Reconstruction - Classrooms,Completed,classrooms,2,2,26001,15,26001-9
Bhaktapur,Bhaktapur Nagarpalika,2,SCI,SCI,Education,Reconstruction - Classrooms,Completed,classrooms,2,2,26001,15,26001-2
Bhaktapur,Bhaktapur Nagarpalika,5,SCI,SCI,Education,Reconstruction - Classrooms,Completed,classrooms,2,2,26001,15,26001-5
Bhaktapur,Bhaktapur Nagarpalika,9,SCI,SCI,Education,Reconstruction - Classrooms,Completed,classrooms,2,2,26001,15,26001-9
Bhaktapur,Bhaktapur Nagarpalika,2,SCI,SCI,Education,Reconstruction - Classrooms,Completed,classrooms,2,2,26001,15,26001-2
Bhaktapur,Bhaktapur Nagarpalika,5,GON,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,27,27,26001,15,26001-5
Bhaktapur,Changunarayan Nagarpalika,8,OXFAM-GB,OXFAM-GB,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,2,2,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,6,OXFAM-GB,OXFAM-GB,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,2,2,26002,15,26002-6
Bhaktapur,Changunarayan Nagarpalika,9,OXFAM-GB,OXFAM-GB,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,1,1,26002,15,26002-9
Bhaktapur,Changunarayan Nagarpalika,8,OXFAM-GB,OXFAM-GB,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,1,1,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,7,OXFAM-GB,OXFAM-GB,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,1,1,26002,15,26002-7
Bhaktapur,Changunarayan Nagarpalika,6,OXFAM-GB,OXFAM-GB,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,1,2,26002,15,26002-6
Bhaktapur,Changunarayan Nagarpalika,5,GON,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,24,24,26002,15,26002-5
Bhaktapur,Changunarayan Nagarpalika,5,GON,GON,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,Completed,individuals,24,24,26002,15,26002-5
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness",Completed,individuals,500,500,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,4,DCA,FSCN,"Water, Sanitation and Hygiene",Reconstruction - Water supply mechanisms,Completed,households,210,210,26002,15,26002-4
Bhaktapur,Changunarayan Nagarpalika,7,OXFAM-GB,OXFAM-GB,Rural Housing and Community Infrastructure,Support - Helpdesk/technical support center,Completed,households,200,200,26002,15,26002-7
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,"Water, Sanitation and Hygiene",Promotion - Hygiene and Sanitation Promotion,Completed,households,200,200,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness",Completed,individuals,200,200,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,Rural Housing and Community Infrastructure,Orientation - Community reconstruction orientation,Completed,individuals,200,208,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,Disaster Risk Management,Awareness - Enhancement of Risk information dissemination,Completed,households,150,150,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,5,DCA,FSCN,"Water, Sanitation and Hygiene",Reconstruction - Water supply mechanisms,Completed,households,150,150,26002,15,26002-5
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness",Completed,individuals,150,150,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,Completed,individuals,150,150,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,Disaster Risk Management,Capacity building - Search and Rescue,Completed,individuals,150,150,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,Completed,individuals,150,150,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,Completed,individuals,150,150,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,Completed,individuals,150,150,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness",Completed,individuals,120,120,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,Completed,individuals,120,120,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,Rural Housing and Community Infrastructure,Support - Production of IEC Materials,Completed,copies,100,100,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,5,DCA,FSCN,Rural Housing and Community Infrastructure,Support - Production of IEC Materials,Completed,copies,100,100,26002,15,26002-5
Bhaktapur,Changunarayan Nagarpalika,4,DCA,FSCN,Rural Housing and Community Infrastructure,Support - Production of IEC Materials,Completed,copies,100,100,26002,15,26002-4
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,"Water, Sanitation and Hygiene",Reconstruction - Toilet,Completed,households,100,100,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,4,DCA,FSCN,"Water, Sanitation and Hygiene",Reconstruction - Toilet,Completed,households,100,100,26002,15,26002-4
Bhaktapur,Changunarayan Nagarpalika,4,DCA,FSCN,"Water, Sanitation and Hygiene",Promotion - Hygiene and Sanitation Promotion,Completed,households,100,100,26002,15,26002-4
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,Disaster Risk Management,"Awareness - Earthquake Risk Reduction, recovery preparedness",Completed,individuals,100,100,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,Employment and Livelihood,Capacity building - Entrepreneurship trainings orientations,Completed,individuals,80,80,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,Employment and Livelihood,Support - Financial support for livelihood activities,Completed,individuals,80,80,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,Employment and Livelihood,Capacity building - Skill development trainings,Completed,individuals,80,80,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,Disaster Risk Management,Awareness - Enhancement of Risk information dissemination,Completed,households,60,60,26002,15,26002-8
Bhaktapur,Changunarayan Nagarpalika,8,DCA,FSCN,"Water, Sanitation and Hygiene",Reconstruction - Water supply mechanisms,Completed,households,55,55,26002,15,26002-8
