District	Municipality	Ward	Partner Organization	Implementing Partner	Funding Organisation	Sector	Activity Type	Name of the Infrastructure	Activity Detail	Curriculum (for Trainings)	Activity Status	Unit (Indicator)	Planned#	Reached#	GaNaPa_Code	GaPaN_Ward_Code
Baglung	Baglung	3	VidhyaM	VidhyaM	NHCF	Education	Reconstruction - Classrooms	Vidhya Mandir Madhyamik Vidhyalaya			Ongoing	classrooms	4		45002	45002-3
Bhaktapur	Changunarayan	5	NRCS	NRCS	BRC	"Water, Sanitation and Hygiene"	Support - Rainwater harvesting				Ongoing	households	6	4	26002	26002-5
Bhaktapur	Changunarayan	9	NRCS	NRCS	BRC	"Water, Sanitation and Hygiene"	Support - Rainwater harvesting				Ongoing	households	5	4	26002	26002-9
Bhaktapur	Suryabinayak	4	NRCS	NRCS	BRC	"Water, Sanitation and Hygiene"	Support - Rainwater harvesting				Completed	households	1	2	26004	26004-4
Bhaktapur	Bhaktapur	5	SCI	CDS	SCI	Education	Reconstruction - Classrooms		"Emergency reconstruction response to earthquake, psychosocial training, material support and winterisation "			classrooms	2		26001	26001-5
Bhaktapur	Bhaktapur	9	SCI	CDS	SCI	Education	Reconstruction - Classrooms		"Emergency reconstruction response to earthquake, psychosocial training, material support and winterisation "			classrooms	2		26001	26001-9
Bhaktapur	Bhaktapur	2	SCI	CDS	SCI	Education	Reconstruction - Classrooms		"Emergency reconstruction response to earthquake, psychosocial training, material support and winterisation "			classrooms	2		26001	26001-2
Bhaktapur	Bhaktapur	5	SCI	CDS	SCI	Education	Reconstruction - Classrooms		"Emergency reconstruction response to earthquake, reconstruction of classrooms (TLCs), psychosocial training, material support and winterisation "			classrooms	2		26001	26001-5
Bhaktapur	Bhaktapur	9	SCI	CDS	SCI	Education	Reconstruction - Classrooms		"Emergency reconstruction response to earthquake, reconstruction of classrooms (TLCs), psychosocial training, material support and winterisation "			classrooms	2		26001	26001-9
Bhaktapur	Bhaktapur	2	SCI	CDS	SCI	Education	Reconstruction - Classrooms		"Emergency reconstruction response to earthquake, reconstruction of classrooms (TLCs), psychosocial training, material support and winterisation "			classrooms	2		26001	26001-2
Bhaktapur	Bhaktapur	5	GON	NRA	GON	Rural Housing and Community Infrastructure	Capacity building - Short training for mason		7 days mason training	DUDBC	Completed	individuals	27	27	26001	26001-5
Bhaktapur	Bhaktapur	1	NRCS	NRCS	BRC	Health	Reconstruction/rehabilitation - Permanent Structures		blood bank retrofitting and Temporary relocation of Blood bank Bhaktapur ( district level and BRC level coordinationa and agreement was made and will satretd from oct 2017)		Planned	health facilities	1		26001	26001-1
Bhaktapur	Bhaktapur	1	NRCS	NRCS	BRC	Health	Support - Provision of Non Medical Supplies		Distribution of winter baby kit		Completed	units	4200	4200	26001	26001-1
Bhaktapur	Bhaktapur	2	NRCS	NRCS	BRC	Rural Housing and Community Infrastructure	Capacity building - Short training for mason		7 days mason training	DUDBC	Completed	individuals	360	326	26001	26001-2
Bhaktapur	Changunarayan	8	OXFAM-GB	ENPHO	OXFAM-GB	Rural Housing and Community Infrastructure	Capacity building - Short training for mason	"Masons (other curriculums, specify in Activity Detail)"	"short term (15days), It has been tailored to meet the needs of low skilled labors to undertake 7 days masons training"		Completed	individuals	2	2	26002	26002-8
Bhaktapur	Changunarayan	6	OXFAM-GB	ENPHO	OXFAM-GB	Rural Housing and Community Infrastructure	Capacity building - Short training for mason	"Masons (other curriculums, specify in Activity Detail)"	"short term (15days), It has been tailored to meet the needs of low skilled labors to undertake 7 days masons training"		Completed	individuals	2	2	26002	26002-6
Bhaktapur	Changunarayan	9	OXFAM-GB	ENPHO	OXFAM-GB	Rural Housing and Community Infrastructure	Capacity building - Short training for mason	"Masons (other curriculums, specify in Activity Detail)"	"short term (15days), It has been tailored to meet the needs of low skilled labors to undertake 7 days masons training"		Completed	individuals	1	1	26002	26002-9
Bhaktapur	Changunarayan	8	OXFAM-GB	ENPHO	OXFAM-GB	Rural Housing and Community Infrastructure	Capacity building - Short training for mason	"Masons (other curriculums, specify in Activity Detail)"	"short term (15days), It has been tailored to meet the needs of low skilled labors to undertake 7 days masons training"		Completed	individuals	1	1	26002	26002-8
Bhaktapur	Changunarayan	7	OXFAM-GB	ENPHO	OXFAM-GB	Rural Housing and Community Infrastructure	Capacity building - Short training for mason	"Masons (other curriculums, specify in Activity Detail)"	"short term (15days), It has been tailored to meet the needs of low skilled labors to undertake 7 days masons training"		Completed	individuals	1	1	26002	26002-7
Bhaktapur	Changunarayan	6	OXFAM-GB	ENPHO	OXFAM-GB	Rural Housing and Community Infrastructure	Capacity building - Short training for mason	"Masons (other curriculums, specify in Activity Detail)"	"short term (15days), It has been tailored to meet the needs of low skilled labors to undertake 7 days masons training"		Completed	individuals	1	2	26002	26002-6
Bhaktapur	Changunarayan	5	GON		GON	Rural Housing and Community Infrastructure	Capacity building - Short training for mason	"Masons (7 days DUDBC, rural or urban)"			Completed	individuals	24	24	26002	26002-5
Bhaktapur	Changunarayan	5	GON		GON	Rural Housing and Community Infrastructure	Capacity building - Short training for mason	"Masons (7 days DUDBC, rural or urban)"			Completed	individuals	24	24	26002	26002-5
Bhaktapur	Changunarayan	8	DCA		FSCN	Disaster Risk Management	"Awareness - Earthquake Risk Reduction, recovery preparedness"		IEC materials on the basis of VCA findings			individuals	500		26002	26002-8
Bhaktapur	Changunarayan	4	DCA		FSCN	"Water, Sanitation and Hygiene"	Reconstruction - Water supply mechanisms	Khoriya WSS	Water supply scheme construction			households	210		26002	26002-4
Bhaktapur	Changunarayan	7	OXFAM-GB		OXFAM-GB	Rural Housing and Community Infrastructure	Support - Helpdesk/technical support center	Helpdesk/technical support center	Information center at municipality office		Completed	households	200	200	26002	26002-7
Bhaktapur	Changunarayan	8	DCA		FSCN	"Water, Sanitation and Hygiene"	Promotion - Hygiene and Sanitation Promotion		ToT and community orientation on hygiene promotion			households	200		26002	26002-8
Bhaktapur	Changunarayan	8	DCA		FSCN	Disaster Risk Management	"Awareness - Earthquake Risk Reduction, recovery preparedness"		Simulation and mock drill			individuals	200		26002	26002-8
Bhaktapur	Changunarayan	8	DCA		FSCN	Rural Housing and Community Infrastructure	Orientation - Community reconstruction orientation		2-3 sessions		Completed	individuals	200	208	26002	26002-8
Bhaktapur	Changunarayan	8	DCA		FSCN	Disaster Risk Management	Awareness - Enhancement of Risk information dissemination		Public awareness on safe and resilient shelter construction			households	150		26002	26002-8
Bhaktapur	Changunarayan	5	DCA		FSCN	"Water, Sanitation and Hygiene"	Reconstruction - Water supply mechanisms	Pikhel WSS	Water supply scheme construction			households	150		26002	26002-5
Bhaktapur	Changunarayan	8	DCA		FSCN	Disaster Risk Management	"Awareness - Earthquake Risk Reduction, recovery preparedness"		Disaster simulation			individuals	150		26002	26002-8
Bhaktapur	Changunarayan	8	DCA		FSCN	Disaster Risk Management	Capacity building - Strengthen preparedness/information coordination		Conduction of VCA to develop SBDRMP 			individuals	150		26002	26002-8
Bhaktapur	Changunarayan	8	DCA		FSCN	Disaster Risk Management	Capacity building - Search and Rescue		development of evacuation plan at school level			individuals	150		26002	26002-8
Bhaktapur	Changunarayan	8	DCA		FSCN	Disaster Risk Management	Capacity building - Strengthen preparedness/information coordination		Stock piling of LSAR and first-aid kit at schools			individuals	150		26002	26002-8
Bhaktapur	Changunarayan	8	DCA		FSCN	Disaster Risk Management	Capacity building - Strengthen preparedness/information coordination		Operationalization of SBDRMP through small scale mitigations			individuals	150		26002	26002-8
Bhaktapur	Changunarayan	8	DCA		FSCN	Disaster Risk Management	Capacity building - Strengthen preparedness/information coordination		Establishment of school based DRR fund			individuals	150		26002	26002-8
Bhaktapur	Changunarayan	8	DCA		FSCN	Disaster Risk Management	"Awareness - Earthquake Risk Reduction, recovery preparedness"		Wall paintings at school			individuals	120		26002	26002-8
