District,Municipality,Ward,Partner Organization,Implementing Partner,Funding Organisation,Sector,Activity Type,Name of the Infrastructure,Activity Detail,Curriculum (for Trainings),Activity Status,Unit (Indicator),Planned#,Reached#,GaNaPa_Code,GaPaN_Ward_Code
Arghakhanchi,Bhumekasthan Nagarpalika,"1,2,4,5,7,8,9",CSIDB,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,individuals,25,25,51001,#N/A
Arghakhanchi,Bhumekasthan Nagarpalika,"1,3,7,8,9,10",CSIDB,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,individuals,25,25,51001,#N/A
Arghakhanchi,Chhatradev Gaunpalika,"5,6,7,8",CSIDB,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,individuals,25,25,51002,#N/A
Arghakhanchi,Chhatradev Gaunpalika,"1,3,4,5,10",CSIDB,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,individuals,25,25,51002,#N/A
Arghakhanchi,Malarani Gaunpalika,"3,4,5,7",CSIDB,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,individuals,25,25,51003,#N/A
Arghakhanchi,Malarani Gaunpalika,"1,2,3,6,8",CSIDB,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,individuals,25,25,51003,#N/A
Arghakhanchi,Panini Gaunpalika,"6,7,8",CSIDB,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,individuals,25,25,51004,#N/A
Arghakhanchi,Panini Gaunpalika,"5,6,8",CSIDB,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,individuals,25,25,51004,#N/A
Arghakhanchi,Sandhikharka Nagarpalika,"1,3,7,8",CSIDB,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,individuals,25,25,51005,#N/A
Arghakhanchi,Sandhikharka Nagarpalika,"4,6,7",CSIDB,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,individuals,25,25,51005,#N/A
Arghakhanchi,Sitganga Nagarpalika,"3,4,5",CSIDB,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,individuals,25,25,51006,#N/A
Arghakhanchi,Bhumekasthan Nagarpalika,,CSIDB,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,individuals,25,24,51001,#N/A
Arghakhanchi,Bhumekasthan Nagarpalika,,CSIDB,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,individuals,25,26,51001,#N/A
Arghakhanchi,Sandhikharka Nagarpalika,,CSIDB,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,individuals,25,25,51005,#N/A
Arghakhanchi,Sandhikharka Nagarpalika,,CSIDB,CSIDB,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,,DUDBC,Completed,individuals,25,25,51005,#N/A
