FIRST_DIST,FIRST_GaPa,HRRP_Palika_Code,Total_Beneficiary,First_Tranche,First_Tranche_Percent,Second_Tranche,Second_Tranche_Percent,Third_Tranche,Third_Tranche_Percent
ARGHAKHANCHI,Bhumekasthan,51001,148,131,89%,45,30%,34,23%
ARGHAKHANCHI,Chhatradev,51002,199,197,99%,66,33%,49,25%
ARGHAKHANCHI,Malarani,51003,245,191,78%,103,42%,17,7%
ARGHAKHANCHI,Panini,51004,241,220,91%,49,20%,20,8%
ARGHAKHANCHI,Sandhikharka,51005,83,83,100%,39,47%,31,37%
ARGHAKHANCHI,Sitganga,51006,139,131,94%,65,47%,45,32%
BAGLUNG,Badigad,45001,147,110,75%,36,24%,17,12%
BAGLUNG,Baglung,45002,627,542,86%,243,39%,169,27%
BAGLUNG,Bareng,45003,108,106,98%,49,45%,3,3%
BAGLUNG,Dhorpatan,45004,45,42,93%,30,67%,26,58%
BAGLUNG,Galkot,45005,389,359,92%,104,27%,59,15%
BAGLUNG,Jaimuni,45006,654,599,92%,283,43%,104,16%
BAGLUNG,Kanthekhola,45007,283,267,94%,138,49%,68,24%
BAGLUNG,Nisikhola,45008,11,9,82%,5,45%,5,45%
BAGLUNG,Taman Khola,45009,20,20,100%,12,60%,10,50%
BAGLUNG,Tara Khola,45010,102,71,70%,49,48%,16,16%
BHAKTAPUR,Bhaktapur,26001,7622,5617,74%,1547,20%,1384,18%
BHAKTAPUR,Changunarayan,26002,10937,9694,89%,2799,26%,2654,24%
BHAKTAPUR,Madhyapur Thimi,26003,2333,2109,90%,621,27%,585,25%
BHAKTAPUR,Suryabinayak,26004,7416,7019,95%,2310,31%,2182,29%
BHOJPUR,Aamchowk,10001,407,329,81%,206,51%,23,6%
BHOJPUR,Arun,10002,341,341,100%,155,45%,18,5%
BHOJPUR,Bhojpur,10003,1071,949,89%,203,19%,34,3%
BHOJPUR,Hatuwagadhi,10004,265,226,85%,95,36%,36,14%
BHOJPUR,Pauwadungma,10005,340,303,89%,121,36%,79,23%
BHOJPUR,Ramprasad Rai,10006,616,548,89%,285,46%,54,9%
BHOJPUR,Salpasilichho,10007,1281,1281,100%,847,66%,0,0%
BHOJPUR,Shadananda,10008,1057,991,94%,535,51%,0,0%
BHOJPUR,Tyamkemaiyung,10009,531,488,92%,212,40%,1,0%
CHITAWAN,Bharatpur,35001,710,664,94%,211,30%,65,9%
CHITAWAN,Ichchhyakamana,35002,2353,2244,95%,1724,73%,852,36%
CHITAWAN,Kalika,35003,916,639,70%,341,37%,97,11%
CHITAWAN,Khairahani,35004,559,527,94%,237,42%,178,32%
CHITAWAN,Madi,35005,23,36,157%,21,91%,15,65%
CHITAWAN,Rapti,35006,2043,1280,63%,676,33%,283,14%
CHITAWAN,Ratnanagar,35007,731,815,111%,396,54%,342,47%
DHADING,Benighat Rorang,30001,4910,4402,90%,3725,76%,2423,49%
DHADING,Dhunibesi,30002,7158,6622,93%,4551,64%,2984,42%
DHADING,Gajuri,30003,5105,4695,92%,4181,82%,2642,52%
DHADING,Galchi,30004,5997,5657,94%,4978,83%,2300,38%
DHADING,Gangajamuna,30005,6447,6345,98%,5735,89%,4223,66%
DHADING,Jwalamukhi,30006,5390,4910,91%,3838,71%,2723,51%
DHADING,Khaniyabash,30007,3469,3404,98%,3022,87%,1846,53%
DHADING,Netrawati,30008,3866,3704,96%,3337,86%,2714,70%
DHADING,Nilakantha,30009,12183,11601,95%,9871,81%,7296,60%
DHADING,Rubi Valley,30010,2850,2747,96%,2352,83%,1565,55%
DHADING,Siddhalek,30011,5359,5034,94%,4446,83%,3136,59%
DHADING,Thakre,30012,6384,6396,100%,5363,84%,3257,51%
DHADING,Tripura Sundari,30013,5697,5561,98%,5007,88%,3383,59%
DHANKUTA,Chaubise,7001,340,261,77%,120,35%,95,28%
DHANKUTA,Chhathar Jorpati,7002,382,386,101%,254,66%,125,33%
DHANKUTA,Dhankuta,7003,427,368,86%,217,51%,97,23%
DHANKUTA,Khalsa Chhintang Shahidbhumi,7004,176,153,87%,63,36%,35,20%
DHANKUTA,Mahalaxmi,7005,1035,1012,98%,696,67%,165,16%
DHANKUTA,Pakhribas,7006,333,256,77%,126,38%,71,21%
DHANKUTA,Sangurigadhi,7007,103,83,81%,37,36%,14,14%
DOLAKHA,Baiteshwor,22001,8339,7703,92%,6713,81%,6064,73%
DOLAKHA,Bhimeshwor,22002,12503,10900,87%,7856,63%,6138,49%
DOLAKHA,Bigu,22003,6731,6189,92%,5222,78%,4552,68%
DOLAKHA,Gaurishankar,22004,6767,6439,95%,5179,77%,4869,72%
