FIRST_DIST,FIRST_GaPa,HRRP_Palika_Code,Total_Beneficiary,First_Tranche,First_Tranche_Percent,Second_Tranche,Second_Tranche_Percent,Third_Tranche,Third_Tranche_Percent
Arghakhanchi,Bhumekasthan Nagarpalika,51001,133,133,100%,81,61%,69,52%
Arghakhanchi,Chhatradev Gaunpalika,51002,202,198,98%,111,55%,81,40%
Arghakhanchi,Malarani Gaunpalika,51003,224,224,100%,148,66%,96,43%
Arghakhanchi,Panini Gaunpalika,51004,220,220,100%,79,36%,47,21%
Arghakhanchi,Sandhikharka Nagarpalika,51005,79,79,100%,48,61%,39,49%
Arghakhanchi,Sitganga Nagarpalika,51006,132,132,100%,94,71%,61,46%
Baglung,Badigad Gaunpalika,45001,147,137,93%,79,54%,69,47%
Baglung,Baglung Nagarpalika,45002,622,609,98%,366,59%,339,55%
Baglung,Bareng Gaunpalika,45003,111,111,100%,99,89%,66,59%
Baglung,Dhorpatan Nagarpalika,45004,62,62,100%,37,60%,33,53%
Baglung,Galkot Nagarpalika,45005,389,382,98%,239,61%,207,53%
Baglung,Jaimuni Nagarpalika,45006,656,656,100%,584,89%,472,72%
Baglung,Kanthekhola Gaunpalika,45007,308,308,100%,226,73%,200,65%
Baglung,Nisikhola Gaunpalika,45008,16,16,100%,6,38%,6,38%
Baglung,Taman Khola Gaunpalika,45009,25,25,100%,16,64%,13,52%
Baglung,Tara Khola Gaunpalika,45010,75,75,100%,65,87%,51,68%
Bhaktapur,Bhaktapur Nagarpalika,26001,"5,726","5,726",100%,"2,129",37%,"1,951",34%
Bhaktapur,Changunarayan Nagarpalika,26002,"10,054","10,054",100%,"4,781",48%,"4,672",46%
Bhaktapur,Madhyapur Thimi Nagarpalika,26003,"2,155","2,155",100%,905,42%,887,41%
Bhaktapur,Suryabinayak Nagarpalika,26004,"7,178","7,178",100%,"3,649",51%,"3,535",49%
Bhojpur,Aamchowk Gaunpalika,10001,391,391,100%,330,84%,301,77%
Bhojpur,Arun Gaunpalika,10002,548,548,100%,313,57%,275,50%
Bhojpur,Bhojpur Nagarpalika,10003,"1,334","1,334",100%,854,64%,728,55%
Bhojpur,Hatuwagadhi Gaunpalika,10004,259,259,100%,217,84%,202,78%
Bhojpur,Pauwadungma Gaunpalika,10005,322,322,100%,197,61%,194,60%
Bhojpur,Ramprasad Rai Gaunpalika,10006,714,714,100%,572,80%,542,76%
Bhojpur,Salpasilichho Gaunpalika,10007,"1,105","1,105",100%,"1,079",98%,"1,042",94%
Bhojpur,Shadananda Nagarpalika,10008,"1,190","1,190",100%,942,79%,823,69%
Bhojpur,Tyamkemaiyung Gaunpalika,10009,651,651,100%,458,70%,421,65%
Chitwan,Bharatpur Mahanagarpalika,35001,802,802,100%,583,73%,515,64%
Chitwan,Ichchhyakamana Gaunpalika,35002,"2,902","2,902",100%,"2,194",76%,"2,002",69%
Chitwan,Kalika Nagarpalika,35003,"1,103","1,103",100%,858,78%,738,67%
Chitwan,Khairahani Nagarpalika,35004,700,700,100%,458,65%,431,62%
Chitwan,Madi Nagarpalika,35005,40,40,100%,23,58%,22,55%
Chitwan,Rapti Nagarpalika,35006,"2,239","2,239",100%,"1,656",74%,"1,458",65%
Chitwan,Ratnanagar Nagarpalika,35007,939,939,100%,564,60%,547,58%
Dhading,Benighat Rorang Gaunpalika,30001,"4,838","4,838",100%,"4,340",90%,"3,882",80%
Dhading,Dhunibesi Nagarpalika,30002,"7,041","7,041",100%,"6,242",89%,"5,521",78%
Dhading,Gajuri Gaunpalika,30003,"4,989","4,989",100%,"4,702",94%,"4,277",86%
Dhading,Galchi Gaunpalika,30004,"5,687","5,687",100%,"5,383",95%,"4,583",81%
Dhading,Gangajamuna Gaunpalika,30005,"6,718","6,718",100%,"6,382",95%,"6,176",92%
Dhading,Jwalamukhi Gaunpalika,30006,"5,358","5,358",100%,"5,016",94%,"4,336",81%
Dhading,Khaniyabash Gaunpalika,30007,"3,574","3,574",100%,"3,398",95%,"3,192",89%
Dhading,Netrawati Gaunpalika,30008,"3,915","3,915",100%,"3,767",96%,"3,697",94%
Dhading,Nilakantha Nagarpalika,30009,"12,633","12,633",100%,"11,956",95%,"11,228",89%
Dhading,Rubi Valley Gaunpalika,30010,"3,137","3,137",100%,"2,714",87%,"2,467",79%
Dhading,Siddhalek Gaunpalika,30011,"5,460","5,460",100%,"5,097",93%,"4,786",88%
Dhading,Thakre Gaunpalika,30012,"6,892","6,892",100%,"6,457",94%,"5,815",84%
Dhading,Tripura Sundari Gaunpalika,30013,"6,261","6,261",100%,"5,913",94%,"4,762",76%
Dhankuta,Chaubise Gaunpalika,7001,340,316,93%,200,59%,178,52%
Dhankuta,Chhathar Jorpati Gaunpalika,7002,506,506,100%,359,71%,301,59%
Dhankuta,Dhankuta Nagarpalika,7003,427,427,100%,337,79%,243,57%
Dhankuta,Khalsa Chhintang Shahidbhumi Gaunpalika,7004,254,254,100%,171,67%,108,43%
Dhankuta,Mahalaxmi Nagarpalika,7005,"1,075","1,075",100%,940,87%,790,73%
Dhankuta,Pakhribas Nagarpalika,7006,361,361,100%,261,72%,212,59%
Dhankuta,Sangurigadhi Gaunpalika,7007,103,103,100%,63,61%,51,50%
Dolakha,Baiteshwor Gaunpalika,22001,"8,454","8,180",97%,"7,596",90%,"7,376",87%
Dolakha,Bhimeshwor Nagarpalika,22002,"12,568","11,584",92%,"10,171",81%,"9,195",73%
Dolakha,Bigu Gaunpalika,22003,"6,760","6,377",94%,"6,138",91%,"5,927",88%
Dolakha,Gaurishankar Gaunpalika,22004,"6,932","6,710",97%,"6,274",91%,"6,125",88%
Dolakha,Jiri Nagarpalika,22005,"5,896","5,320",90%,"4,812",82%,"4,535",77%
Dolakha,Kalinchok Gaunpalika,22006,"9,003","8,611",96%,"8,426",94%,"8,297",92%
Dolakha,Melung Gaunpalika,22007,"7,919","7,267",92%,"6,567",83%,"6,348",80%
Dolakha,Sailung Gaunpalika,22008,"8,450","7,754",92%,"6,908",82%,"6,389",76%
Dolakha,Tamakoshi Gaunpalika,22009,"7,476","7,062",94%,"6,816",91%,"6,536",87%
Gorkha,Aarughat Gaunpalika,36001,"6,857","6,857",100%,"6,570",96%,"6,137",89%
Gorkha,Ajirkot Gaunpalika,36002,"4,048","4,048",100%,"3,932",97%,"3,840",95%
Gorkha,Bhimsen Gaunpalika,36003,"6,822","6,822",100%,"6,501",95%,"5,509",81%
Gorkha,Chum Nubri Gaunpalika,36004,"2,114","2,114",100%,"1,884",89%,"1,789",85%
Gorkha,Dharche Gaunpalika,36005,"3,469","3,469",100%,"2,970",86%,"2,909",84%
Gorkha,Gandaki Gaunpalika,36006,"5,085","5,085",100%,"4,619",91%,"3,942",78%
Gorkha,Gorkha Nagarpalika,36007,"10,096","10,096",100%,"8,649",86%,"8,314",82%
Gorkha,Palungtar Nagarpalika,36008,"9,208","9,208",100%,"7,926",86%,"7,421",81%
Gorkha,Sahid Lakhan Gaunpalika,36009,"6,889","6,889",100%,"5,879",85%,"5,505",80%
Gorkha,Siranchok Gaunpalika,36010,"6,452","6,452",100%,"5,685",88%,"5,452",85%
Gorkha,Sulikot Gaunpalika,36011,"7,035","7,035",100%,"6,790",97%,"6,675",95%
Gulmi,Chandrakot Gaunpalika,46001,238,222,93%,125,53%,118,50%
Gulmi,Chatrakot Gaunpalika,46002,430,220,51%,167,39%,122,28%
Gulmi,Dhurkot Gaunpalika,46003,510,510,100%,380,75%,256,50%
Gulmi,Gulmidarbar Gaunpalika,46004,192,192,100%,145,76%,76,40%
Gulmi,Isma Gaunpalika,46005,131,131,100%,92,70%,51,39%
