FIRST_DIST,FIRST_GaPa,HRRP_Palika_Code,Total_Beneficiary,First_Tranche,First_Tranche_Percent,Second_Tranche,Second_Tranche_Percent,Third_Tranche,Third_Tranche_Percent
ARGHAKHANCHI,Bhumekasthan,51001,133,133,100%,81,61%,69,52%
ARGHAKHANCHI,Chhatradev,51002,202,198,98%,111,55%,81,40%
ARGHAKHANCHI,Malarani,51003,224,224,100%,148,66%,96,43%
ARGHAKHANCHI,Panini,51004,220,220,100%,79,36%,47,21%
ARGHAKHANCHI,Sandhikharka,51005,79,79,100%,48,61%,39,49%
ARGHAKHANCHI,Sitganga,51006,132,132,100%,94,71%,61,46%
BAGLUNG,Badigad,45001,147,137,93%,79,54%,69,47%
BAGLUNG,Baglung,45002,622,609,98%,366,59%,339,55%
BAGLUNG,Bareng,45003,111,111,100%,99,89%,66,59%
BAGLUNG,Dhorpatan,45004,62,62,100%,37,60%,33,53%
BAGLUNG,Galkot,45005,389,382,98%,239,61%,207,53%
BAGLUNG,Jaimuni,45006,656,656,100%,584,89%,472,72%
BAGLUNG,Kanthekhola,45007,308,308,100%,226,73%,200,65%
BAGLUNG,Nisikhola,45008,16,16,100%,6,38%,6,38%
BAGLUNG,Taman Khola,45009,25,25,100%,16,64%,13,52%
BAGLUNG,Tara Khola,45010,75,75,100%,65,87%,51,68%
BHAKTAPUR,Bhaktapur,26001,5726,5726,100%,2129,37%,1951,34%
BHAKTAPUR,Changunarayan,26002,10054,10054,100%,4781,48%,4672,46%
BHAKTAPUR,Madhyapur Thimi,26003,2155,2155,100%,905,42%,887,41%
BHAKTAPUR,Suryabinayak,26004,7178,7178,100%,3649,51%,3535,49%
BHOJPUR,Aamchowk,10001,391,391,100%,330,84%,301,77%
BHOJPUR,Arun,10002,548,548,100%,313,57%,275,50%
BHOJPUR,Bhojpur,10003,1334,1334,100%,854,64%,728,55%
BHOJPUR,Hatuwagadhi,10004,259,259,100%,217,84%,202,78%
BHOJPUR,Pauwadungma,10005,322,322,100%,197,61%,194,60%
BHOJPUR,Ramprasad Rai,10006,714,714,100%,572,80%,542,76%
BHOJPUR,Salpasilichho,10007,1105,1105,100%,1079,98%,1042,94%
BHOJPUR,Shadananda,10008,1190,1190,100%,942,79%,823,69%
BHOJPUR,Tyamkemaiyung,10009,651,651,100%,458,70%,421,65%
CHITAWAN,Bharatpur,35001,802,802,100%,583,73%,515,64%
CHITAWAN,Ichchhyakamana,35002,2902,2902,100%,2194,76%,2002,69%
CHITAWAN,Kalika,35003,1103,1103,100%,858,78%,738,67%
CHITAWAN,Khairahani,35004,700,700,100%,458,65%,431,62%
CHITAWAN,Madi,35005,40,40,100%,23,58%,22,55%
CHITAWAN,Rapti,35006,2239,2239,100%,1656,74%,1458,65%
CHITAWAN,Ratnanagar,35007,939,939,100%,564,60%,547,58%
DHADING,Benighat Rorang,30001,4838,4838,100%,4340,90%,3882,80%
DHADING,Dhunibesi,30002,7041,7041,100%,6242,89%,5521,78%
DHADING,Galchi,30004,5687,5687,100%,5383,95%,4583,81%
DHADING,Gangajamuna,30005,6718,6718,100%,6382,95%,6176,92%
DHADING,Gajuri,30003,4989,4989,100%,4702,94%,4277,86%
DHADING,Jwalamukhi,30006,5358,5358,100%,5016,94%,4336,81%
DHADING,Khaniyabash,30007,3574,3574,100%,3398,95%,3192,89%
DHADING,Netrawati,30008,3915,3915,100%,3767,96%,3697,94%
DHADING,Nilakantha,30009,12633,12633,100%,11956,95%,11228,89%
DHADING,Rubi Valley,30010,3137,3137,100%,2714,87%,2467,79%
DHADING,Siddhalek,30011,5460,5460,100%,5097,93%,4786,88%
DHADING,Thakre,30012,6892,6892,100%,6457,94%,5815,84%
DHADING,Tripura Sundari,30013,6261,6261,100%,5913,94%,4762,76%
DHANKUTA,Chhathar Jorpati,7002,506,506,100%,359,71%,301,59%
DHANKUTA,Chaubise,7001,340,316,93%,200,59%,178,52%
DHANKUTA,Dhankuta,7003,427,427,100%,337,79%,243,57%
DHANKUTA,Khalsa Chhintang Shahidbhumi,7004,254,254,100%,171,67%,108,43%
DHANKUTA,Mahalaxmi,7005,1075,1075,100%,940,87%,790,73%
DHANKUTA,Pakhribas,7006,361,361,100%,261,72%,212,59%
DHANKUTA,Sangurigadhi,7007,103,103,100%,63,61%,51,50%
DOLAKHA,Baiteshwor,22001,8454,8180,97%,7596,90%,7376,87%
DOLAKHA,Bhimeshwor,22002,12568,11584,92%,10171,81%,9195,73%
DOLAKHA,Bigu,22003,6760,6377,94%,6138,91%,5927,88%
DOLAKHA,Gaurishankar,22004,6932,6710,97%,6274,91%,6125,88%
DOLAKHA,Jiri,22005,5896,5320,90%,4812,82%,4535,77%
DOLAKHA,Kalinchok,22006,9003,8611,96%,8426,94%,8297,92%
DOLAKHA,Melung,22007,7919,7267,92%,6567,83%,6348,80%
DOLAKHA,Sailung,22008,8450,7754,92%,6908,82%,6389,76%
DOLAKHA,Tamakoshi,22009,7476,7062,94%,6816,91%,6536,87%
GORKHA,Aarughat,36001,6857,6857,100%,6570,96%,6137,89%
GORKHA,Ajirkot,36002,4048,4048,100%,3932,97%,3840,95%
GORKHA,Bhimsen,36003,6822,6822,100%,6501,95%,5509,81%
GORKHA,Chum Nubri,36004,2114,2114,100%,1884,89%,1789,85%
GORKHA,Dharche,36005,3469,3469,100%,2970,86%,2909,84%
GORKHA,Gandaki,36006,5085,5085,100%,4619,91%,3942,78%
GORKHA,Gorkha,36007,10096,10096,100%,8649,86%,8314,82%
GORKHA,Palungtar,36008,9208,9208,100%,7926,86%,7421,81%
GORKHA,Sahid Lakhan,36009,6889,6889,100%,5879,85%,5505,80%
GORKHA,Siranchok,36010,6452,6452,100%,5685,88%,5452,85%
GORKHA,Sulikot,36011,7035,7035,100%,6790,97%,6675,95%
GULMI,Chandrakot,46001,238,222,93%,125,53%,118,50%
GULMI,Chatrakot,46002,430,220,51%,167,39%,122,28%
GULMI,Dhurkot,46003,510,510,100%,380,75%,256,50%
GULMI,Gulmidarbar,46004,192,192,100%,145,76%,76,40%
GULMI,Isma,46005,131,131,100%,92,70%,51,39%
GULMI,Kaligandaki,46006,1121,1121,100%,944,84%,784,70%
GULMI,Madane,46007,172,172,100%,125,73%,86,50%
GULMI,Malika,46008,73,73,100%,68,93%,53,73%
GULMI,Musikot,46009,719,719,100%,501,70%,420,58%
GULMI,Resunga,46010,223,223,100%,179,80%,111,50%
GULMI,Ruru,46011,282,282,100%,228,81%,205,73%
GULMI,Satyawati,46012,546,456,84%,351,64%,307,56%
KASKI,Annapurna,40001,419,419,100%,274,65%,237,57%
KASKI,Machhapuchchhre,40002,461,461,100%,372,81%,316,69%
KASKI,Madi,40003,1155,1155,100%,729,63%,528,46%
KASKI,Pokhara Lekhnath,40004,2904,2904,100%,1687,58%,1384,48%
KASKI,Rupa,40005,1326,1326,100%,894,67%,661,50%
KATHMANDU,Budhanilakantha,27001,2143,2143,100%,1195,56%,1027,48%
KATHMANDU,Chandragiri,27002,4945,4945,100%,2232,45%,1856,38%
KATHMANDU,Dakshinkali,27003,3822,3822,100%,2012,53%,1700,44%
KATHMANDU,Gokarneshwor,27004,2701,2701,100%,1856,69%,1608,60%
KATHMANDU,Kageshwori Manahora,27005,3465,3465,100%,2115,61%,1608,46%
KATHMANDU,Kathmandu,27006,6177,6177,100%,1776,29%,1540,25%
KATHMANDU,Kirtipur,27007,2570,2570,100%,1080,42%,959,37%
KATHMANDU,Nagarjun,27008,4175,4175,100%,1803,43%,1597,38%
KATHMANDU,Shankharapur,27009,5672,5672,100%,3752,66%,3009,53%
KATHMANDU,Tarakeshwor,27010,5415,5415,100%,2812,52%,2477,46%
KATHMANDU,Tokha,27011,1691,1691,100%,832,49%,732,43%
KABHREPALANCHOK,Banepa,24001,6414,6414,100%,4488,70%,4085,64%
KABHREPALANCHOK,Bethanchowk,24002,3717,3717,100%,3316,89%,2779,75%
KABHREPALANCHOK,Bhumlu,24003,5896,5896,100%,5548,94%,5099,86%
KABHREPALANCHOK,Chaurideurali,24004,5678,5678,100%,5033,89%,4491,79%
KABHREPALANCHOK,Dhulikhel,24005,5305,5305,100%,3970,75%,3374,64%
KABHREPALANCHOK,Khanikhola,24006,2580,2580,100%,2481,96%,2039,79%
KABHREPALANCHOK,Mahabharat,24007,2691,2691,100%,2607,97%,2418,90%
KABHREPALANCHOK,Mandandeupur,24008,8751,8751,100%,8034,92%,7107,81%
KABHREPALANCHOK,Namobuddha,24009,6542,6542,100%,5072,78%,4033,62%
KABHREPALANCHOK,Panauti,24010,7980,7980,100%,5988,75%,5366,67%
KABHREPALANCHOK,Panchkhal,24011,9128,9128,100%,7812,86%,6589,72%
KABHREPALANCHOK,Roshi,24012,5464,5464,100%,4745,87%,4086,75%
KABHREPALANCHOK,Temal,24013,4054,4054,100%,3621,89%,3226,80%
KHOTANG,Ainselukhark,13001,775,755,97%,445,57%,351,45%
KHOTANG,Barahapokhari,13002,475,469,99%,367,77%,269,57%
KHOTANG,Diprung,13003,524,502,96%,458,87%,387,74%
KHOTANG,Halesi Tuwachung,13004,1754,1702,97%,1444,82%,1074,61%
KHOTANG,Jantedhunga,13005,464,453,98%,342,74%,213,46%
KHOTANG,Kepilasagadhi,13006,662,653,99%,447,68%,381,58%
KHOTANG,Khotehang,13007,907,808,89%,651,72%,547,60%
KHOTANG,Lamidanda,13008,839,801,95%,546,65%,389,46%
KHOTANG,Rupakot Majhuwagadhi,13009,1511,1472,97%,1055,70%,844,56%
KHOTANG,Sakela,13010,531,528,99%,371,70%,326,61%
LALITPUR,Bagmati,25001,3219,3219,100%,2870,89%,2519,78%
LALITPUR,Godawari,12002,1113,1112,100%,1040,93%,970,87%
LALITPUR,Konjyosom,20003,3776,3744,99%,3016,80%,2802,74%
LALITPUR,Lalitpur,25004,6629,6433,97%,1627,25%,1178,18%
LALITPUR,Mahalaxmi,25005,3180,3180,100%,1328,42%,1230,39%
LALITPUR,Mahankal,25006,2343,2270,97%,2041,87%,1746,75%
LAMJUNG,Besishahar,37001,1321,1321,100%,927,70%,782,59%
LAMJUNG,Dordi,37002,2261,2261,100%,1691,75%,1206,53%
LAMJUNG,Dudhpokhari,37003,2206,2206,100%,1824,83%,1340,61%
LAMJUNG,Kwholasothar,37004,314,314,100%,140,45%,125,40%
LAMJUNG,MadhyaNepal,37005,1526,1526,100%,1002,66%,777,51%
LAMJUNG,Marsyangdi,37006,1074,1074,100%,739,69%,616,57%
LAMJUNG,Rainas,37007,3082,3082,100%,2435,79%,1836,60%
LAMJUNG,Sundarbazar,37008,2269,2269,100%,1649,73%,1254,55%
MAKAWANPUR,Bagmati,31001,4225,2430,58%,2291,54%,1768,42%
MAKAWANPUR,Bakaiya,31002,5568,3827,69%,3104,56%,1886,34%
MAKAWANPUR,Bhimphedi,31003,3519,2781,79%,2535,72%,2273,65%
MAKAWANPUR,Hetauda,31004,6575,5275,80%,3730,57%,3278,50%
MAKAWANPUR,Indrasarowar,31005,2965,2671,90%,2353,79%,1872,63%
MAKAWANPUR,Kailash,31006,2134,1896,89%,1788,84%,1622,76%
MAKAWANPUR,Makawanpurgadhi,31007,3203,2049,64%,1802,56%,1506,47%
MAKAWANPUR,Manahari,31008,3066,1938,63%,1643,54%,1256,41%
MAKAWANPUR,Raksirang,31009,2219,1675,75%,1563,70%,1349,61%
MAKAWANPUR,Thaha,31010,7142,6442,90%,5744,80%,4838,68%
MYAGDI,Annapurna,43001,124,124,100%,82,66%,72,58%
MYAGDI,Beni,43002,448,448,100%,263,59%,246,55%
MYAGDI,Dhaulagiri,43003,34,34,100%,25,74%,10,29%
MYAGDI,Malika,43004,40,40,100%,32,80%,31,78%
MYAGDI,Mangala,43005,156,156,100%,126,81%,116,74%
MYAGDI,Raghuganga,43006,148,148,100%,96,65%,83,56%
PARASI,Bardaghat,48001,4,4,100%,4,100%,4,100%
NAWALPUR,Binayee Tribeni,48002,69,67,97%,65,94%,69,100%
NAWALPUR,Bulingtar,48003,265,265,100%,261,98%,260,98%
NAWALPUR,Bungdikali,48004,73,73,100%,71,97%,71,97%
NAWALPUR,Devchuli,48005,178,178,100%,174,98%,173,97%
NAWALPUR,Gaidakot,48006,49,49,100%,46,94%,46,94%
NAWALPUR,Hupsekot,48007,141,141,100%,139,99%,139,99%
NAWALPUR,Kawasoti,48008,4,4,100%,4,100%,3,75%
NAWALPUR,Madhyabindu,48009,88,88,100%,82,93%,79,90%
PARASI,Palhi Nandan,48020,4,4,100%,4,100%,4,100%
PARASI,Pratappur,48030,3,3,100%,3,100%,3,100%
PARASI,Ramgram,48012,1,1,100%,1,100%,1,100%
PARASI,Sarawal,48050,3,3,100%,3,100%,3,100%
PARASI,Sunwal,48060,2,2,100%,2,100%,2,100%
PARASI,Susta,48070,3,2,67%,2,67%,2,67%
NUWAKOT,Belkotgadhi,28001,10952,10952,100%,10100,92%,8265,75%
NUWAKOT,Bidur,28002,12584,12584,100%,11697,93%,10156,81%
NUWAKOT,Dupcheshwar,28003,5771,5771,100%,5611,97%,5362,93%
NUWAKOT,Kakani,28004,6596,6596,100%,6250,95%,5491,83%
NUWAKOT,Kispang,28005,4690,4690,100%,4541,97%,4349,93%
NUWAKOT,Likhu,28006,5133,5133,100%,4678,91%,4205,82%
NUWAKOT,Meghang,28007,4663,4663,100%,4228,91%,4137,89%
NUWAKOT,Panchakanya,28008,4457,4457,100%,4256,95%,3882,87%
NUWAKOT,Shivapuri,28009,6293,6293,100%,6005,95%,5450,87%
NUWAKOT,Suryagadhi,28010,5155,5155,100%,4828,94%,4429,86%
NUWAKOT,Tadi,28011,4553,4553,100%,4357,96%,4141,91%
NUWAKOT,Tarkeshwar,28012,4646,4646,100%,4309,93%,4057,87%
OKHALDHUNGA,Champadevi,12001,3634,3587,99%,3444,95%,3319,91%
OKHALDHUNGA,Chisankhugadhi,12002,1113,1112,100%,1040,93%,970,87%
OKHALDHUNGA,Khijidemba,12003,2952,2941,100%,2838,96%,2684,91%
OKHALDHUNGA,Likhu,12004,3387,3380,100%,3285,97%,3194,94%
OKHALDHUNGA,Manebhanjyang,12005,1699,1681,99%,1552,91%,1407,83%
OKHALDHUNGA,Molung,12006,3220,3204,100%,3115,97%,2894,90%
OKHALDHUNGA,Siddhicharan,12007,2626,2618,100%,2389,91%,2232,85%
OKHALDHUNGA,Sunkoshi,12008,3505,3492,100%,3368,96%,3186,91%
PALPA,Bagnaskali,47001,549,549,100%,326,59%,274,50%
PALPA,Mathagadhi,47002,570,570,100%,358,63%,289,51%
PALPA,Nisdi,47003,699,699,100%,569,81%,497,71%
PALPA,Purbakhola,47004,285,285,100%,187,66%,160,56%
PALPA,Rainadevi Chhahara,47005,372,372,100%,146,39%,131,35%
PALPA,Rambha,47006,315,315,100%,213,68%,202,64%
PALPA,Rampur,47007,320,320,100%,200,63%,143,45%
PALPA,Ribdikot,47008,680,680,100%,329,48%,276,41%
PALPA,Tansen,47009,484,484,100%,313,65%,259,54%
PALPA,Tinau,47010,333,333,100%,231,69%,198,59%
PARBAT,Bihadi,44001,1196,1196,100%,811,68%,567,47%
PARBAT,Jaljala,44002,203,203,100%,115,57%,105,52%
PARBAT,Kushma,44003,910,910,100%,702,77%,593,65%
PARBAT,Mahashila,44004,395,395,100%,277,70%,212,54%
PARBAT,Modi,44005,489,489,100%,356,73%,305,62%
PARBAT,Painyu,44006,827,827,100%,490,59%,392,47%
PARBAT,Phalebas,44007,1477,1477,100%,1017,69%,653,44%
RAMECHHAP,Doramba,21001,4950,4923,99%,3873,78%,3463,70%
RAMECHHAP,Gokulganga,21002,6461,6461,100%,5935,92%,5398,84%
RAMECHHAP,Khadadevi,21003,6192,6192,100%,5097,82%,4738,77%
RAMECHHAP,Likhu,21004,6245,6245,100%,5276,84%,4835,77%
RAMECHHAP,Manthali,21005,11587,11587,100%,10180,88%,9501,82%
RAMECHHAP,Ramechhap,21006,6720,6720,100%,5646,84%,5387,80%
RAMECHHAP,Sunapati,21007,4848,4848,100%,4002,83%,3559,73%
RAMECHHAP,Umakunda,21008,4848,4943,102%,4481,92%,3856,80%
RASUWA,Gosaikunda,29001,1904,1885,99%,1816,95%,1648,87%
RASUWA,Kalika,29002,2582,2580,100%,2494,97%,2450,95%
RASUWA,Naukunda,29003,3332,3332,100%,3272,98%,3207,96%
RASUWA,Aama Choodingmo,29004,2003,2003,100%,1833,92%,1624,81%
RASUWA,Uttargaya,29005,2351,2349,100%,2153,92%,2069,88%
SANKHUWASABHA,Bhotkhola,9001,39,39,100%,32,82%,32,82%
SANKHUWASABHA,Chainpur,9002,193,193,100%,125,65%,109,56%
SANKHUWASABHA,Chichila,9003,78,78,100%,75,96%,68,87%
SANKHUWASABHA,Dharmadevi,9004,195,195,100%,96,49%,90,46%
SANKHUWASABHA,Khandbari,9005,802,802,100%,477,59%,448,56%
SANKHUWASABHA,Madi,9006,239,239,100%,163,68%,133,56%
SANKHUWASABHA,Makalu,9007,193,193,100%,172,89%,156,81%
SANKHUWASABHA,Panchakhapan,9008,206,206,100%,145,70%,120,58%
SANKHUWASABHA,Sabhapokhari,9009,112,112,100%,64,57%,63,56%
SANKHUWASABHA,Silichong,9010,192,186,97%,150,78%,126,66%
SINDHULI,Dudhouli,20001,8382,8376,100%,3932,47%,2220,26%
SINDHULI,Phikkal,20007,3591,3575,100%,2583,72%,2320,65%
SINDHULI,Ghanglekh,20002,2679,2661,99%,2107,79%,1938,72%
SINDHULI,Golanjor,20003,3776,3744,99%,3016,80%,2802,74%
SINDHULI,Hariharpurgadhi,20004,4019,4004,100%,2346,58%,1441,36%
SINDHULI,Kamalamai,20005,9767,9751,100%,6827,70%,5292,54%
SINDHULI,Marin,20006,4829,4816,100%,2992,62%,2078,43%
SINDHULI,Sunkoshi,20008,4411,4399,100%,3914,89%,3616,82%
SINDHULI,Tinpatan,20009,7091,7087,100%,4476,63%,3307,47%
SINDHUPALCHOK,Barhabise,23002,8245,8037,97%,7741,94%,7160,87%
SINDHUPALCHOK,Balefi,23001,6148,6002,98%,5926,96%,5637,92%
SINDHUPALCHOK,Bhotekoshi,23003,4377,4219,96%,3890,89%,3158,72%
SINDHUPALCHOK,Chautara SangachokGadhi,23004,14342,14052,98%,13229,92%,12863,90%
SINDHUPALCHOK,Helambu,23005,5677,5378,95%,5040,89%,4713,83%
SINDHUPALCHOK,Indrawati,23006,8594,8419,98%,8181,95%,7721,90%
