District,Municipality,Ward,Partner Organization,Funding Organisation,Sector,Activity Type,Activity Status,Unit (Indicator),Planned#,Reached#,GaNaPa_Code,GaPaN_Ward_Code,District_code
Chitawan,Rapti,11,Paribartan-N,Back to Life e V.,Education,Reconstruction - Classrooms,Completed,classrooms,4,4,35006,35006-11,35
Chitawan,Rapti,9,Paribartan-N,Back to Life e V.,Education,Reconstruction - Classrooms,Completed,classrooms,2,2,35006,35006-9,35
Nuwakot,Bidur,12,Paribartan-N,Back to Life e V.,Education,Reconstruction - Classrooms,Completed,classrooms,5,5,28002,28002-12,28
Nuwakot,Bidur,12,Paribartan-N,Back to Life e V.,Education,Reconstruction - Classrooms,Completed,classrooms,5,5,28002,28002-12,28
Nuwakot,Bidur,12,Paribartan-N,Back to Life e V.,Education,Reconstruction - Classrooms,Completed,classrooms,5,5,28002,28002-12,28
Nuwakot,Bidur,6,Paribartan-N,Back to Life e V.,Education,Reconstruction - Classrooms,Completed,classrooms,5,5,28002,28002-6,28
Nuwakot,Belkotgadhi,4,Paribartan-N,Back to Life e V.,Education,Reconstruction - Classrooms,Completed,classrooms,5,5,28001,28001-4,28
Nuwakot,Belkotgadhi,4,Paribartan-N,Back to Life e V.,Education,Reconstruction - Classrooms,Completed,classrooms,3,3,28001,28001-4,28
Ramechhap,Ramechhap,8,CFJ,CFJ,Education,Reconstruction - Classrooms,Completed,classrooms,2,2,21006,21006-8,21
Ramechhap,Ramechhap,5,CFJ,CFJ,Education,Reconstruction - Classrooms,Completed,classrooms,2,2,21006,21006-5,21
Sindhupalchok,Tripura Sundari,3,CFJ,CFJ,Education,Reconstruction - Classrooms,Completed,classrooms,7,7,23012,23012-3,23
Sindhupalchok,Tripura Sundari,5,CFJ,CFJ,Education,Reconstruction - Classrooms,Completed,classrooms,6,6,23012,23012-5,23
Sindhupalchok,Tripura Sundari,5,CFJ,CFJ,Education,Reconstruction - Classrooms,Completed,classrooms,2,2,23012,23012-5,23
Sindhupalchok,Sunkoshi,7,CFJ,CFJ,Education,Reconstruction - Classrooms,Completed,classrooms,3,3,23011,23011-7,23
Sindhupalchok,Sunkoshi,7,CFJ,CFJ,Education,Reconstruction - Classrooms,Completed,classrooms,5,5,23011,23011-7,23
Sindhupalchok,Lisangkhu Pakhar,6,CFJ,CFJ,Education,Reconstruction - Classrooms,Completed,classrooms,13,13,23008,23008-6,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Disaster Risk Management,Support - Integration of LDRMP and CDRMP into local development plans,,wards,1,,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Employment and Livelihood,Support - Livelihood support for Marginalized People,,households,,,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,"Water, Sanitation and Hygiene",Support - Material Support on Community WASH,Completed,units,26,26,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Employment and Livelihood,Support - Livelihood support for Marginalized People,,households,12,,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Education,Reconstruction - Classrooms,Completed,classrooms,1,5,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Education,Reconstruction - Classrooms,Completed,classrooms,1,1,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,"Water, Sanitation and Hygiene",Repair/Rehabilitation - Water supply mechanisms,Completed,households,18,18,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Education,Reconstruction - Classrooms,Completed,classrooms,6,5,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Education,Reconstruction - Classrooms,Completed,classrooms,6,8,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Education,Reconstruction - Classrooms,Completed,classrooms,4,1,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,14,HELP,ADH+Others,Education,Reconstruction - Classrooms,Completed,classrooms,4,3,23004,23004-14,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Education,Reconstruction - Classrooms,Completed,classrooms,2,5,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,14,HELP,ADH+Others,Education,Reconstruction - Classrooms,Completed,classrooms,2,1,23004,23004-14,23
Sindhupalchok,Chautara Sangachokgadhi,14,HELP,ADH+Others,Education,Reconstruction - Classrooms,Completed,classrooms,10,10,23004,23004-14,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Education,Reconstruction - Classrooms,Completed,classrooms,8,8,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Education,Reconstruction - Classrooms,Completed,classrooms,6,6,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Education,Reconstruction - Classrooms,Completed,classrooms,6,6,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Education,Support - Material support to Schools,Completed,units,18,159,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Education,Support - Material support to Schools,Completed,units,34,15,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Education,Support - Material support to Schools,Completed,units,32,31,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Education,Support - Material support to Schools,Completed,units,32,19,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Education,Support - Material support to Schools,Completed,units,28,92,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Education,Support - Material support to Schools,Completed,units,26,31,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,14,HELP,ADH+Others,Education,Support - Material support to Schools,Completed,units,24,10,23004,23004-14,23
Sindhupalchok,Chautara Sangachokgadhi,14,HELP,ADH+Others,Education,Support - Material support to Schools,Completed,units,22,25,23004,23004-14,23
Sindhupalchok,Chautara Sangachokgadhi,14,HELP,ADH+Others,Education,Support - Material support to Schools,Completed,units,18,27,23004,23004-14,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Education,Support - Material support to Schools,Completed,units,16,50,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Employment and Livelihood,Support - Livelihood support for Marginalized People,Completed,households,11,458,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,"Water, Sanitation and Hygiene",Support - Material Support on Community WASH,Completed,units,252,252,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Employment and Livelihood,Support - Livelihood support for Marginalized People,Completed,households,8,11,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Employment and Livelihood,Support - Livelihood support for Marginalized People,Completed,households,7,78,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,14,HELP,ADH+Others,Employment and Livelihood,Support - Livelihood support for Marginalized People,Completed,households,7,112,23004,23004-14,23
Sindhupalchok,Chautara Sangachokgadhi,14,HELP,ADH+Others,Employment and Livelihood,Support - Livelihood support for Marginalized People,Completed,households,6,573,23004,23004-14,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,"Water, Sanitation and Hygiene",Support - Material Support on Community WASH,Completed,units,68,68,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,"Water, Sanitation and Hygiene",Support - Material Support on Community WASH,Completed,units,37,37,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,14,HELP,ADH+Others,"Water, Sanitation and Hygiene",Support - Material Support on Community WASH,Completed,units,42,42,23004,23004-14,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Employment and Livelihood,Support - Livelihood support for Marginalized People,Completed,households,5,240,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Employment and Livelihood,Support - Livelihood support for Marginalized People,Completed,households,5,55,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,14,HELP,ADH+Others,Employment and Livelihood,Support - Livelihood support for Marginalized People,Completed,households,5,390,23004,23004-14,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Employment and Livelihood,Support - Livelihood support for Marginalized People,Completed,households,4,100,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,"Water, Sanitation and Hygiene",Support - Material Support on Community WASH,Completed,units,89,89,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,"Water, Sanitation and Hygiene",Support - Material Support on Community WASH,Completed,units,167,167,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,14,HELP,ADH+Others,"Water, Sanitation and Hygiene",Support - Material Support on Community WASH,Completed,units,77,77,23004,23004-14,23
Sindhupalchok,Chautara Sangachokgadhi,14,HELP,ADH+Others,"Water, Sanitation and Hygiene",Support - Material Support on Community WASH,Completed,units,59,59,23004,23004-14,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,ADH+Others,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,individuals,133,,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,individuals,133,,23004,23004-13,23
Sindhupalchok,Chautara Sangachokgadhi,13,HELP,,Disaster Risk Management,Capacity building - Strengthen preparedness/information coordination,,individuals,133,,23004,23004-13,23
